file_name,query,answer,new query,new answer,type
COCO_val2014_000000000042.jpg,Is there a red sandal here?,yes,Would there be a red sandal here if all shoes were removed?,no,boolean
COCO_val2014_000000000873.jpg,Is this a hospital?,no,Would this be a hospital if there were red crosses on the roof?,yes,boolean
COCO_val2014_000000000074.jpg,Does this dog have a collar?,no,Would this dog have a collar if the dog had a rope around its neck?,no,boolean
COCO_val2014_000000000192.jpg,Is the catcher wearing safety gear?,yes,Would the catcher be wearing safety gear if there were no helmets on their heads?,no,boolean
COCO_val2014_000000000285.jpg,Is the bear sitting?,yes,Would the bear be sitting if it kept its hind legs upright?,no,boolean
COCO_val2014_000000000400.jpg,Is there a dog?,yes,Would there be a dog if there were a cat on the blue deck?,yes,boolean
COCO_val2014_000000000428.jpg,Is he going to need a bath soon?,yes,Would he need a bath soon if he were clean all over?,no,boolean
COCO_val2014_000000000459.jpg,Is there a camera?,yes,Would there be a camera if the man dropped whatever was on his left hand?,no,boolean
COCO_val2014_000000000474.jpg,Is there grass?,yes,Would there be grass if this place just burned down?,no,boolean
COCO_val2014_000000000486.jpg,Are there bicycles?,no,Would there be bicycles if a man parked a bicycle here?,yes,boolean
COCO_val2014_000000000520.jpg,Is this a high bridge?,no,Would this be a high bridge if the bottom of the bridge were 100 meters above the water?,yes,boolean
COCO_val2014_000000000544.jpg,Is the catcher wearing blue?,no,Would the catcher be wearing blue if all players were wearing red?,no,boolean
COCO_val2014_000000000636.jpg,Is the lid up?,yes,Would the lid be up if the lid had been closed?,no,boolean
COCO_val2014_000000000661.jpg,There a person holding the sandwich?,no,Would there be a person holding the sandwich if a man were to grab this bag?,yes,boolean
COCO_val2014_000000000675.jpg,Is the light on?,yes,Would the light be on if a man pressed the light switch?,no,boolean
COCO_val2014_000000000692.jpg,Is the baby wearing stripes?,yes,Would the baby be wearing stripes if the baby were wearing the same clothes as his mother?,no,boolean
COCO_val2014_000000000711.jpg,Is the remote control on the table?,yes,Would the remote control be on the table if someone moved it to the sofa?,no,boolean
COCO_val2014_000000000724.jpg,Are there clouds?,yes,Would there be clouds if the sky were pure blue?,no,boolean
COCO_val2014_000000000757.jpg,Are the animals in the wild?,yes,Would the animals be in the wild if there were no water?,yes,boolean
COCO_val2014_000000000772.jpg,Are the sheep eating grass?,no,Would the sheep be eating grass if we could see grass on the sheep's mouths?,yes,boolean
COCO_val2014_000000000785.jpg,Are the goggles covering her eyes?,yes,Would the goggles be covering her eyes if she took off the glasses?,no,boolean
COCO_val2014_000000000873.jpg,Is this a hospital?,no,Would this be a hospital if there were red crosses on the roof?,yes,boolean
COCO_val2014_000000000969.jpg,Are both men bending down?,no,Would both men be bending down if the boy were bending down?,yes,boolean
COCO_val2014_000000001029.jpg,Are there clouds?,yes,Would there be clouds if there were no planes?,yes,boolean
COCO_val2014_000000001064.jpg,Is the toast burned on the edges?,yes,Would the toast be burned on the edges if there were no black on the edge of the toast?,no,boolean
COCO_val2014_000000001083.jpg,Are these cows suffering?,no,Would these cows be suffering if they were seriously ill?,yes,boolean
COCO_val2014_000000001103.jpg,Is this a color photograph?,no,Would this be a color photograph if the sea on it were blue and the sand on it were golden?,yes,boolean
COCO_val2014_000000001146.jpg,Does he have on the appropriate shirt to wear with a tie?,yes,Would he have on the appropriate shirt to wear with a tie if his clothes were fancy?,no,boolean
COCO_val2014_000000001153.jpg,Have these bananas been peeled?,no,Would these bananas have been peeled if we could only see the pulp and not see the peel?,yes,boolean
COCO_val2014_000000001205.jpg,Is the light on?,yes,Would the light be on if it were not glowing?,no,boolean
COCO_val2014_000000001270.jpg,Are the spectators bored?,yes,Would the spectators be bored if they were concentrating on the game?,no,boolean
COCO_val2014_000000001340.jpg,Are these flowers artificial?,yes,Would these flowers be artificial if these flowers wouldn't die without water?,no,boolean
COCO_val2014_000000001342.jpg,Are any of these items edible?,no,Would any of these items be edible if there were bananas and apples?,yes,boolean
COCO_val2014_000000001369.jpg,Is this man in the ocean?,yes,"Would this man be in the ocean if this were a desert, not a beach?",no,boolean
COCO_val2014_000000001404.jpg,Is the child dressed for warm weather?,yes,Would the child be dressed for warm weather if he were also wearing a padded jacket?,no,boolean
COCO_val2014_000000001425.jpg,Is there color in this picture?,no,Would there be color in this picture if the food were eaten?,no,boolean
COCO_val2014_000000001436.jpg,Is the man wearing glasses?,yes,Would the man be wearing glasses if he had taken off his glasses?,no,boolean
COCO_val2014_000000001448.jpg,Is the giraffe shown here standing erect?,no,Would the giraffe shown here be standing erect if the giraffe straightened its limbs and raised its head?,yes,boolean
COCO_val2014_000000001554.jpg,Are these sheep shaved?,yes,Would these sheep be shaved if they were covered in hair?,no,boolean
COCO_val2014_000000001563.jpg,Is this skier a female?,yes,Would this skier be a female if the skier had a man's face and Adam's apple?,no,boolean
COCO_val2014_000000001577.jpg,Are the vases full of water?,yes,Would the vases be full of water if the vase toppled over?,no,boolean
COCO_val2014_000000001584.jpg,Is this bus more than one color?,no,Would this bus be more than one color if the second story of the bus were painted blue?,yes,boolean
COCO_val2014_000000001592.jpg,Is this female an adult?,no,Would this female be an adult if she were mature?,yes,boolean
COCO_val2014_000000001700.jpg,Is this snowboarder in the air?,no,Would this snowboarder be in the air if he jumped up?,yes,boolean
COCO_val2014_000000001841.jpg,Is the girl wearing a tied?,yes,Would the girl be wearing a tie if there were something around her neck?,no,boolean
COCO_val2014_000000001856.jpg,Will he wipe out?,no,Would he wipe out if his feet left the surfboard?,yes,boolean
COCO_val2014_000000002139.jpg,Is the bicycle upright?,yes,Would the bicycle be upright if it were not pushed over?,no,boolean
COCO_val2014_000000002142.jpg,Is there a lot of pigeons in this picture?,yes,Would there be a lot of pigeons in this picture if all the pigeons had not flown away?,no,boolean
COCO_val2014_000000002149.jpg,Is there three oranges in this picture?,no,Would there be three oranges in this picture if all the apples were not red?,yes,boolean
COCO_val2014_000000002154.jpg,Is the shopping cart parked in a corral?,no,Would the shopping cart be parked in a corral if there weren't many other shopping carts here?,yes,boolean
COCO_val2014_000000002164.jpg,Are there any stones on the grass?,no,Would there be any stones on the grass if there were not a stone beside each sheep?,yes,boolean
COCO_val2014_000000002225.jpg,Does this doughnut have cherry frosting?,no,Would this doughnut have cherry frosting if it were not embellished with pink?,yes,boolean
COCO_val2014_000000002240.jpg,Are the dolls weird?,yes,Would the dolls be weird if the bear were not removed?,no,boolean
COCO_val2014_000000002255.jpg,Are there two elephants?,no,Would there be two elephants if another baby elephant did not come?,yes,boolean
COCO_val2014_000000002290.jpg,Does this ship have sails?,yes,Would this ship have sails if there were no masts on the ship?,no,boolean
COCO_val2014_000000002295.jpg,Is the cat sleeping?,no,Would the cat be sleeping if the cat were on its stomach and its eyes were not closed?,yes,boolean
COCO_val2014_000000002302.jpg,Is the lead person wearing a blue cap?,yes,Would the lead person be wearing a blue cap if all the people did not take off their caps?,no,boolean
COCO_val2014_000000002346.jpg,Are the flowers larger than the coin?,no,Would the flowers be larger than the coin if the coin were not the same size as a flower petal?,yes,boolean
COCO_val2014_000000002431.jpg,Is the wine in the glass white?,no,Would the wine in the glass be white if it had been drunk out?,no,boolean
COCO_val2014_000000002434.jpg,Are the computers on?,yes,Would the computers on if they had run down?,no,boolean
COCO_val2014_000000002453.jpg,Are there any boats on the water?,yes,Would there be any boats on the water if the boats had sailed away?,no,boolean
COCO_val2014_000000002495.jpg,Is this toilet clean?,no,Would this toilet be clean if it were not neat and bright?,yes,boolean
COCO_val2014_000000002521.jpg,Is the building yellow?,no,Would the building be yellow if it were painted blue?,no,boolean
COCO_val2014_000000002529.jpg,Is the ground cold?,no,Would the ground be cold if it were not covered with shadows?,yes,boolean
COCO_val2014_000000002759.jpg,Does that spoon appear tarnished?,yes,Would that spoon appear tarnished if it were replaced by a brand new one?,no,boolean
COCO_val2014_000000002839.jpg,Is the child looking to the left?,no,Would the child be looking to the left if he did not turn his head to the left?,yes,boolean
COCO_val2014_000000002867.jpg,Are they wearing backpacks?,yes,Would they be wearing backpacks if there was nothing on their backs?,no,boolean
COCO_val2014_000000002985.jpg,Is the road paved?,yes,Would the road be paved if it were bumpy and the cement were not dry yet?,no,boolean
COCO_val2014_000000002988.jpg,Is the cat sleeping on a blue chair?,yes,Would the cat be sleeping on a blue chair if the cat were not standing?,no,boolean
COCO_val2014_000000003035.jpg,Is the plane flying?,no,Would the plane be flying if it were not in the air but not on the ground?,yes,boolean
COCO_val2014_000000003134.jpg,Is the sign on the bus in English?,yes,Would the sign on the bus be in English if we could see Chinese on it?,no,boolean
