file_name,query,answer,new query,new answer,type
COCO_val2014_000000402685.jpg,How many plates are there?,1,How many plates would there be if 2 more plates were added?,3,direct
COCO_val2014_000000402992.jpg,How many cows can you see?,11,How many cows would you see if 7 cows disappeared?,4,direct
COCO_val2014_000000403065.jpg,How many cars are in the picture?,1,How many cars would there be if there were twice as many cars?,2,direct
COCO_val2014_000000403145.jpg,How many sinks are in this bathroom?,1,How many sinks would there be if 3 more sinks were added?,4,direct
COCO_val2014_000000403294.jpg,How many people on the bus?,1,How many people would there be on the bus if 9 people came?,10,direct
COCO_val2014_000000403389.jpg,How many plates are in the picture?,2,How many plates would there be if 1 plate disappeared?,1,direct
COCO_val2014_000000403421.jpg,How many dogs are biting onto the frisbee?,1,How many dogs would be iting onto the frisbee if 2 more dogs were there biting onto the frisbee?,3,direct
COCO_val2014_000000403425.jpg,How many zebras are shown?,6,How many zebras would there be if 3 zebras disappeared?,3,direct
COCO_val2014_000000403481.jpg,How many trains?,1,How many trains would there be if 4 more trains were added?,5,direct
COCO_val2014_000000403515.jpg,How many bags can you see?,1,How many bags would there be if there were no bags to see?,0,direct
COCO_val2014_000000403639.jpg,How many tablets are on the bed?,3,How many tablets would there be on the bed if 2 tablets disappeared?,1,direct
COCO_val2014_000000403758.jpg,How many dogs?,1,How many dogs would there be if there were 3 more dogs?,4,direct
COCO_val2014_000000403821.jpg,How many signs are there?,7,How many signs would there be if 3 signs disappeared?,4,direct
COCO_val2014_000000403864.jpg,How many windshield wipers are present?,1,How many windshield wipers would there be if 2 more were added?,3,direct
COCO_val2014_000000403907.jpg,How many benches appear in this photo?,2,How many benches would there be if 1 bench disappeared?,1,direct
COCO_val2014_000000403951.jpg,How many bottles are shown?,7,How many bottles would there be if 5 bottles disappeared?,2,direct
COCO_val2014_000000404071.jpg,How many train tracks are seen?,2,How many train tracks would there be if 1 track disappeared?,1,direct
COCO_val2014_000000404209.jpg,How many glasses are there on the table?,1,How many glasses would there be on the table if there were twice as many glasses on the table?,2,direct
COCO_val2014_000000404273.jpg,How many animals are there?,1,How many animals would there be if 5 more animals came?,6,direct
COCO_val2014_000000404338.jpg,How many palm trees are there?,0,How many palm trees would there be if 2 palm trees were added?,2,direct
COCO_val2014_000000404373.jpg,How many players are there?,1,How many players would there be if the player was removed?,0,direct
COCO_val2014_000000404479.jpg,How many airplanes are visible?,1,How many airplanes would be visible if 4 more airplanes appeared?,5,direct
COCO_val2014_000000404568.jpg,How many animals are shown?,1,How many animals would be shown if 3 more animals were shown?,4,direct
COCO_val2014_000000404635.jpg,How many elephants?,7,How many elephants would there be if 2 elephants were added?,9,direct
COCO_val2014_000000404668.jpg,How many pictures?,5,How many pictures would there be if 3 pictures were removed?,2,direct
COCO_val2014_000000404702.jpg,How many people?,0,How many people would there be if 3 people appeared?,3,direct
COCO_val2014_000000404889.jpg,How many giraffe are getting for food?,1,How many giraffe would be getting for food if there was another giraffe?,2,direct
COCO_val2014_000000404988.jpg,How many benches are there?,10,How many benches would there be if 5 benches were removed?,5,direct
COCO_val2014_000000405004.jpg,How many lights are on?,2,How many lights would there be on if 1 light was turned off?,1,direct
COCO_val2014_000000405104.jpg,How many green signs are there?,1,How many green signs would there be if 2 more green signs were added?,3,direct
COCO_val2014_000000405175.jpg,How many birds are here?,3,How many birds would there be if 5 more birds came?,8,direct
COCO_val2014_000000405183.jpg,How many humans can be found?,4,How many humans would there be if 2 humans disappeared?,2,direct
COCO_val2014_000000405196.jpg,How many eggs are in the bowl?,2,How many eggs would there be in the bowl if 1 more egg was added?,3,direct
COCO_val2014_000000405222.jpg,How many horses?,6,How many horses would there be if 3 horses disappeared?,3,direct
COCO_val2014_000000405632.jpg,How many arches can be seen?,6,How many arches would be visible if 2 arches were covered?,4,direct
COCO_val2014_000000405635.jpg,How many pillows are on the bed?,2,How many pillows would there be on the bed if 3 more pillows were added?,5,direct
COCO_val2014_000000405675.jpg,How many hydrants are there?,1,How many hydrants would there be if 2 more hydrants were added?,3,direct
COCO_val2014_000000405778.jpg,How many zebras can you see?,3,How many zebras would there be if 2 more zebras came and 1 zebra disappeared?,4,direct
COCO_val2014_000000405811.jpg,How many cows are in the field?,4,How many cows would be in the field if 2 cows left?,2,direct
COCO_val2014_000000405973.jpg,How many men are wearing glasses?,2,How many men would be wearing glasses if 3 more men were wearing glasses?,5,direct
COCO_val2014_000000406050.jpg,How many signs?,4,How many signs would there be if 1 sign disappeared?,3,direct
COCO_val2014_000000406093.jpg,How many plates are in the photo?,1,How many plates would be in the photo if 2 more plates were added?,3,direct
COCO_val2014_000000406215.jpg,How many plants in the picture?,1,How many plants would there be in the picture if another plant was added?,2,direct
COCO_val2014_000000406417.jpg,How many have blue jackets?,0,How many people would have blue jackets if 2 people wore blue jackets?,2,direct
COCO_val2014_000000406534.jpg,How many cameras are in the picture?,1,How many cameras would there be in the picture if 3 more cameras were added?,4,direct
COCO_val2014_000000406723.jpg,How many surfers are in the water?,2,How many surfers would there be in the water if one more surfer came?,3,direct
COCO_val2014_000000406885.jpg,How many cars are on the train?,1,How many cars would be on the train if the number of cars doubled?,2,direct
COCO_val2014_000000406959.jpg,How many faces of the clocks do you see?,2,How many faces of the clocks would you see if one of the clocks were missing a face?,1,direct
COCO_val2014_000000406976.jpg,How many dogs are sitting on the furniture?,2,How many dogs would be sitting on the furniture if a dog were removed?,1,direct
COCO_val2014_000000406997.jpg,How many children are present?,3,How many children would be present if 2 more children attended?,5,direct
COCO_val2014_000000407002.jpg,How many skiers are in the photo?,1,How many skiers would be in the photo if there were 3 more skiers?,4,direct
COCO_val2014_000000407019.jpg,How many bears are seen?,1,How many bears would be seen if there were 4 more bears?,5,direct
